day_since_genesis,blocks_mined_today,block_reward_today_BTRF,emission_today_BTRF,cumulative_supply_BTRF,cumulative_pct_of_cap
0,576,25.0,14400.0,14400.0,0.06857142857142857
1,576,25.0,14400.0,28800.0,0.13714285714285715
2,576,25.0,14400.0,43200.0,0.2057142857142857
3,576,25.0,14400.0,57600.0,0.2742857142857143
4,576,25.0,14400.0,72000.0,0.34285714285714286
5,576,25.0,14400.0,86400.0,0.4114285714285714
6,576,25.0,14400.0,100800.0,0.48
7,576,25.0,14400.0,115200.0,0.5485714285714286
8,576,25.0,14400.0,129600.0,0.6171428571428572
9,576,25.0,14400.0,144000.0,0.6857142857142857
10,576,25.0,14400.0,158400.0,0.7542857142857142
11,576,25.0,14400.0,172800.0,0.8228571428571428
12,576,25.0,14400.0,187200.0,0.8914285714285715
13,576,25.0,14400.0,201600.0,0.96
14,576,25.0,14400.0,216000.0,1.0285714285714285
15,576,25.0,14400.0,230400.0,1.0971428571428572
16,576,25.0,14400.0,244800.0,1.1657142857142857
17,576,25.0,14400.0,259200.0,1.2342857142857144
18,576,25.0,14400.0,273600.0,1.302857142857143
19,576,25.0,14400.0,288000.0,1.3714285714285714
20,576,25.0,14400.0,302400.0,1.44
21,576,25.0,14400.0,316800.0,1.5085714285714285
22,576,25.0,14400.0,331200.0,1.5771428571428572
23,576,25.0,14400.0,345600.0,1.6457142857142857
24,576,25.0,14400.0,360000.0,1.7142857142857144
25,576,25.0,14400.0,374400.0,1.782857142857143
26,576,25.0,14400.0,388800.0,1.8514285714285716
27,576,25.0,14400.0,403200.0,1.92
28,576,25.0,14400.0,417600.0,1.9885714285714284
29,576,25.0,14400.0,432000.0,2.057142857142857
30,576,25.0,14400.0,446400.0,2.1257142857142854
31,576,25.0,14400.0,460800.0,2.1942857142857144
32,576,25.0,14400.0,475200.0,2.262857142857143
33,576,25.0,14400.0,489600.0,2.3314285714285714
34,576,25.0,14400.0,504000.0,2.4
35,576,25.0,14400.0,518400.0,2.468571428571429
36,576,25.0,14400.0,532800.0,2.5371428571428574
37,576,25.0,14400.0,547200.0,2.605714285714286
38,576,25.0,14400.0,561600.0,2.674285714285714
39,576,25.0,14400.0,576000.0,2.742857142857143
40,576,25.0,14400.0,590400.0,2.8114285714285714
41,576,25.0,14400.0,604800.0,2.88
42,576,25.0,14400.0,619200.0,2.9485714285714284
43,576,25.0,14400.0,633600.0,3.017142857142857
44,576,25.0,14400.0,648000.0,3.085714285714286
45,576,25.0,14400.0,662400.0,3.1542857142857144
46,576,25.0,14400.0,676800.0,3.2228571428571424
47,576,25.0,14400.0,691200.0,3.2914285714285714
48,576,25.0,14400.0,705600.0,3.36
49,576,25.0,14400.0,720000.0,3.428571428571429
50,576,25.0,14400.0,734400.0,3.497142857142857
51,576,25.0,14400.0,748800.0,3.565714285714286
52,576,25.0,14400.0,763200.0,3.6342857142857143
53,576,25.0,14400.0,777600.0,3.7028571428571433
54,576,25.0,14400.0,792000.0,3.7714285714285714
55,576,25.0,14400.0,806400.0,3.84
56,576,25.0,14400.0,820800.0,3.908571428571429
57,576,25.0,14400.0,835200.0,3.977142857142857
58,576,25.0,14400.0,849600.0,4.045714285714286
59,576,25.0,14400.0,864000.0,4.114285714285714
60,576,25.0,14400.0,878400.0,4.182857142857143
61,576,25.0,14400.0,892800.0,4.251428571428571
62,576,25.0,14400.0,907200.0,4.32
63,576,25.0,14400.0,921600.0,4.388571428571429
64,576,25.0,14400.0,936000.0,4.457142857142857
65,576,25.0,14400.0,950400.0,4.525714285714286
66,576,25.0,14400.0,964800.0,4.594285714285714
67,576,25.0,14400.0,979200.0,4.662857142857143
68,576,25.0,14400.0,993600.0,4.731428571428571
69,576,25.0,14400.0,1008000.0,4.8
70,576,25.0,14400.0,1022400.0,4.868571428571428
71,576,25.0,14400.0,1036800.0,4.937142857142858
72,576,25.0,14400.0,1051200.0,5.005714285714285
73,576,25.0,14400.0,1065600.0,5.074285714285715
